degree,epsilon,median_mse_ratio,frac_unbiased_better,naive_wins,rows,label
1,0.5,1,0,4,4,naive-dominant
1,1.0,1,0,4,4,naive-dominant
2,0.1,0.826723,1,0,54,unbiased-dominant
2,0.5,0.82689,1,0,54,unbiased-dominant
2,1.0,0.82689,1,0,54,unbiased-dominant
2,1.5,0.82689,1,0,54,unbiased-dominant
2,2.0,0.850758,1,0,54,unbiased-dominant
2,3.0,0.899332,1,0,54,unbiased-dominant
2,4.0,0.93034,1,0,54,near-parity
2,5.0,0.948611,1,0,54,near-parity
2,6.0,0.960768,1,0,54,near-parity
2,7.0,0.969393,1,0,54,near-parity
2,8.0,0.97563,1,0,54,near-parity
2,9.0,0.980238,1,0,54,near-parity
2,10.0,0.983343,1,0,54,near-parity
3,0.1,0.697741,1,0,120,unbiased-dominant
3,0.5,0.692361,1,0,120,unbiased-dominant
3,1.0,0.67976,1,0,120,unbiased-dominant
3,1.5,0.671361,1,0,120,unbiased-dominant
3,2.0,0.665837,0.991667,1,120,unbiased-dominant-with-rare-naive-wins
3,3.0,0.668077,0.975,3,120,unbiased-dominant-with-rare-naive-wins
3,4.0,0.698241,0.958333,5,120,unbiased-dominant-with-rare-naive-wins
3,5.0,0.743306,0.941667,7,120,unbiased-dominant-with-rare-naive-wins
3,6.0,0.788103,0.925,9,120,unbiased-dominant-with-rare-naive-wins
3,7.0,0.823448,0.916667,10,120,unbiased-dominant-with-rare-naive-wins
3,8.0,0.85157,0.916667,10,120,unbiased-dominant-with-rare-naive-wins
3,9.0,0.87492,0.916667,10,120,unbiased-dominant-with-rare-naive-wins
3,10.0,0.892622,0.9,12,120,unbiased-dominant-with-rare-naive-wins
4,0.1,0.652291,1,0,84,unbiased-dominant
4,0.5,0.643594,1,0,84,unbiased-dominant
4,1.0,0.642522,1,0,84,unbiased-dominant
4,1.5,0.641272,1,0,84,unbiased-dominant
4,2.0,0.640606,1,0,84,unbiased-dominant
4,3.0,0.640315,0.988095,1,84,unbiased-dominant-with-rare-naive-wins
4,4.0,0.64655,0.988095,1,84,unbiased-dominant-with-rare-naive-wins
4,5.0,0.659998,0.988095,1,84,unbiased-dominant-with-rare-naive-wins
4,6.0,0.692005,0.952381,4,84,unbiased-dominant-with-rare-naive-wins
4,7.0,0.724156,0.928571,6,84,unbiased-dominant-with-rare-naive-wins
4,8.0,0.746215,0.928571,6,84,unbiased-dominant-with-rare-naive-wins
4,9.0,0.761758,0.928571,6,84,unbiased-dominant-with-rare-naive-wins
4,10.0,0.776715,0.916667,7,84,unbiased-dominant-with-rare-naive-wins
5,0.1,0.583925,1,0,84,unbiased-dominant
5,0.5,0.574055,1,0,84,unbiased-dominant
5,1.0,0.572709,1,0,84,unbiased-dominant
5,1.5,0.570746,1,0,84,unbiased-dominant
5,2.0,0.569994,1,0,84,unbiased-dominant
5,3.0,0.567346,0.988095,1,84,unbiased-dominant-with-rare-naive-wins
5,4.0,0.57344,0.988095,1,84,unbiased-dominant-with-rare-naive-wins
5,5.0,0.57789,0.988095,1,84,unbiased-dominant-with-rare-naive-wins
5,6.0,0.600746,0.97619,2,84,unbiased-dominant-with-rare-naive-wins
5,7.0,0.632858,0.964286,3,84,unbiased-dominant-with-rare-naive-wins
5,8.0,0.654705,0.964286,3,84,unbiased-dominant-with-rare-naive-wins
5,9.0,0.675504,0.964286,3,84,unbiased-dominant-with-rare-naive-wins
5,10.0,0.694258,0.97619,2,84,unbiased-dominant-with-rare-naive-wins
6,0.1,0.482618,1,0,48,unbiased-dominant
6,0.5,0.47026,1,0,48,unbiased-dominant
6,1.0,0.464816,1,0,48,unbiased-dominant
6,1.5,0.46137,1,0,48,unbiased-dominant
6,2.0,0.471827,1,0,48,unbiased-dominant
6,3.0,0.477194,1,0,48,unbiased-dominant
6,4.0,0.475082,1,0,48,unbiased-dominant
6,5.0,0.454917,1,0,48,unbiased-dominant
6,6.0,0.444836,0.979167,1,48,unbiased-dominant-with-rare-naive-wins
6,7.0,0.508327,0.979167,1,48,unbiased-dominant-with-rare-naive-wins
6,8.0,0.625201,0.979167,1,48,unbiased-dominant-with-rare-naive-wins
