a,b,c,noise_scale,M,x_center,noise_threshold,mse_half_width,var_half_width,mse_band_lo,mse_band_hi,var_band_lo,var_band_hi,joint_band_lo,joint_band_hi,joint_half_width,has_safe_zone
-5,-5,-5,10,135100,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-5,2,5500,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-5,1,1450,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-5,0.5,437.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-5,0.2,154,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-5,0.1428571429,127.5510204,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-5,0.1,113.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-4,10,135070,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-4,2,5470,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-4,1,1420,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-4,0.5,407.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-4,0.2,124,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-4,0.1428571429,97.55102041,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-4,0.1,83.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-3,10,135040,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-3,2,5440,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-3,1,1390,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-3,0.5,377.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-3,0.2,94,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-3,0.1428571429,67.55102041,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-3,0.1,53.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-2,10,135010,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-2,2,5410,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-2,1,1360,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-2,0.5,347.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-2,0.2,64,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-2,0.1428571429,37.55102041,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-2,0.1,23.5,-0.3333333333,nan,,,,,,,,,,0
-5,-5,-1,10,134980,-0.3333333333,0.1217161239,,,,,,,,,,0
-5,-5,-1,2,5380,-0.3333333333,0.1217161239,,,,,,,,,,0
-5,-5,-1,1,1330,-0.3333333333,0.1217161239,,,,,,,,,,0
-5,-5,-1,0.5,317.5,-0.3333333333,0.1217161239,,,,,,,,,,0
-5,-5,-1,0.2,34,-0.3333333333,0.1217161239,,,,,,,,,,0
-5,-5,-1,0.1428571429,7.551020408,-0.3333333333,0.1217161239,,,,,,,,,,0
-5,-5,-1,0.1,-6.5,-0.3333333333,0.1217161239,0.09813067629,0.1201850425,-0.4314640096,-0.235202657,-0.4535183758,-0.2131482908,-0.4314640096,-0.235202657,0.09813067629,1
-5,-5,0,10,134950,-0.3333333333,0.1924500897,,,,,,,,,,0
-5,-5,0,2,5350,-0.3333333333,0.1924500897,,,,,,,,,,0
-5,-5,0,1,1300,-0.3333333333,0.1924500897,,,,,,,,,,0
-5,-5,0,0.5,287.5,-0.3333333333,0.1924500897,,,,,,,,,,0
-5,-5,0,0.2,4,-0.3333333333,0.1924500897,,,,,,,,,,0
-5,-5,0,0.1428571429,-22.44897959,-0.3333333333,0.1924500897,0.1823670681,0.2233531314,-0.5157004015,-0.1509662652,-0.5566864648,-0.1099802019,-0.5157004015,-0.1509662652,0.1823670681,1
-5,-5,0,0.1,-36.5,-0.3333333333,0.1924500897,0.2325383282,0.2848001248,-0.5658716615,-0.1007950052,-0.6181334582,-0.04853320849,-0.5658716615,-0.1007950052,0.2325383282,1
-5,-5,1,10,134920,-0.3333333333,0.2434322478,,,,,,,,,,0
-5,-5,1,2,5320,-0.3333333333,0.2434322478,,,,,,,,,,0
-5,-5,1,1,1270,-0.3333333333,0.2434322478,,,,,,,,,,0
