polynomial,noise,metric_diff,leading_term,coeff_q0,sign_q0,coeff_q001,sign_q001,coeff_q01,sign_q01,coeff_q02,sign_q02,coeff_q04,sign_q04,coeff_q03,sign_q03,coeff_q05,sign_q05,coeff_q1,sign_q1
quadratic,laplace,naive_mse-unbiased_mse,(4) * noise_scale^4,4,+,4,+,4,+,4,+,4,+,4,+,4,+,4,+
quadratic,gaussian,naive_mse-unbiased_mse,(1) * noise_scale^4,1,+,1,+,1,+,1,+,1,+,1,+,1,+,1,+
cubic,laplace,naive_mse-unbiased_mse,(108*q**2 + 72*q + 28) * noise_scale^4,28,+,28.0721080000000,+,36.2800000000000,+,46.7200000000000,+,74.0800000000000,+,59.3200000000000,+,91.0000000000000,+,208,+
cubic,gaussian,naive_mse-unbiased_mse,(27*q**2 + 18*q + 7) * noise_scale^4,7,+,7.01802700000000,+,9.07000000000000,+,11.6800000000000,+,18.5200000000000,+,14.8300000000000,+,22.7500000000000,+,52,+
chebyshev_T3,laplace,naive_mse-unbiased_mse,(1728*q**2 - 288) * noise_scale^4,-288,-,-287.998272000000,-,-270.720000000000,-,-218.880000000000,-,-11.5199999999999,-,-132.480000000000,-,144.000000000000,+,1440,+
chebyshev_T3,gaussian,naive_mse-unbiased_mse,(432*q**2 - 72) * noise_scale^4,-72,-,-71.9995680000000,-,-67.6800000000000,-,-54.7200000000000,-,-2.87999999999998,-,-33.1200000000000,-,36.0000000000000,+,360,+
cubic_coeffs,laplace,naive_mse-unbiased_mse,(1728*q**2 + 864*q - 156) * noise_scale^4,-156,-,-155.134272000000,-,-52.3200000000000,-,85.9200000000000,+,466.080000000000,+,258.720000000000,+,708.000000000000,+,2436,+
cubic_coeffs,gaussian,naive_mse-unbiased_mse,(432*q**2 + 216*q - 39) * noise_scale^4,-39,-,-38.7835680000000,-,-13.0800000000000,-,21.4800000000000,+,116.520000000000,+,64.6800000000000,+,177.000000000000,+,609,+
high_degree,laplace,naive_mse-unbiased_mse,(36900*q**16 + 59040*q**15 + 69888*q**14 + 72408*q**13 + 69088*q**12 + 61968*q**11 + 52668*q**10 + 42416*q**9 + 32076*q**8 + 22176*q**7 + 12936*q**6 + 7056*q**5 + 3528*q**4 + 1568*q**3 + 588*q**2 + 168*q + 28) * noise_scale^4,28,+,28.1685895715351,+,52.6868827395704,+,106.789326587822,+,583.695320523080,+,237.071878507191,+,1593.54351806641,+,544500,+
high_degree,gaussian,naive_mse-unbiased_mse,(9225*q**16 + 14760*q**15 + 17472*q**14 + 18102*q**13 + 17272*q**12 + 15492*q**11 + 13167*q**10 + 10604*q**9 + 8019*q**8 + 5544*q**7 + 3234*q**6 + 1764*q**5 + 882*q**4 + 392*q**3 + 147*q**2 + 42*q + 7) * noise_scale^4,7,+,7.04214739288377,+,13.1717206848926,+,26.6973316469555,+,145.923830130770,+,59.2679696267977,+,398.385879516602,+,136125,+
high_degree_coeffs,laplace,naive_mse-unbiased_mse,(147600*q**16 - 354240*q**15 + 675552*q**14 - 1050000*q**13 + 1533880*q**12 - 1943808*q**11 + 2301516*q**10 - 2469976*q**9 + 2469636*q**8 - 2250720*q**7 + 1806600*q**6 - 1323024*q**5 + 863112*q**4 - 491104*q**3 + 223308*q**2 - 78792*q + 15340) * noise_scale^4,15340,+,15261.4308177578,+,9277.46092653282,+,5634.77173315305,+,1532.97713770462,+,3265.58854728424,+,27.6506347656250,+,74880,+
high_degree_coeffs,gaussian,naive_mse-unbiased_mse,(36900*q**16 - 88560*q**15 + 168888*q**14 - 262500*q**13 + 383470*q**12 - 485952*q**11 + 575379*q**10 - 617494*q**9 + 617409*q**8 - 562680*q**7 + 451650*q**6 - 330756*q**5 + 215778*q**4 - 122776*q**3 + 55827*q**2 - 19698*q + 3835) * noise_scale^4,3835,+,3815.35770443945,+,2319.36523163320,+,1408.69293328826,+,383.244284426156,+,816.397136821061,+,6.91265869140625,+,18720,+
chebyshev_T9,laplace,naive_mse-unbiased_mse,(1528823808*q**14 - 4087480320*q**12 + 4208246784*q**10 - 2100142080*q**8 + 523874304*q**6 - 60341760*q**4 + 2488320*q**2 - 25920) * noise_scale^4,-25920,-,-25917.5117403412,-,-6567.68636431368,-,5632.00836498358,+,-26303.7974507895,-,-23875.2652778984,-,11664.0000000000,+,15443136,+
chebyshev_T9,gaussian,naive_mse-unbiased_mse,(382205952*q**14 - 1021870080*q**12 + 1052061696*q**10 - 525035520*q**8 + 130968576*q**6 - 15085440*q**4 + 622080*q**2 - 6480) * noise_scale^4,-6480,-,-6479.37793508531,-,-1641.92159107842,-,1408.00209124589,+,-6575.94936269737,-,-5968.81631947459,-,2916.00000000000,+,3860784,+
