noise,poly_name,family,sweep_parameter,sweep_value,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,0.0,0.2,20000,1337,1.0,-97.66797672615171,46438.14792621601,56173.517557448424,-98.66797672615171,-98.99999999999999,50049.99999999999,60049.999999999985,-99.99999999999999,0.07216487659908065,0.06455424550460553,2.332023273848278,46438.14792621601,46439.92221221808,1.3320232738482778,1.0,50049.99999999999,50049.99999999999,0.0,0.07216487659908065,0.07212942632930895,1.0,0.8267227019337745,1.0,0.8334721065778519
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,0.0,0.5,20000,1337,1.0,-14.794970906296008,1192.7043779692933,1442.1854839000307,-15.794970906296008,-15.0,1288.0,1544.0,-16.0,0.07398728418533128,0.06594204410619774,1.205029093703993,1192.7043779692933,1192.7464148985587,0.20502909370399292,1.0,1288.0,1288.0,0.0,0.07398728418533128,0.07395464681788923,1.0,0.8270409238020298,1.0,0.8341968911917098
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,0.0,1.0,20000,1337,1.0,-2.952115489120558,75.73805765026819,91.35727448961482,-3.952115489120558,-3.0,82.0,98.0,-4.0,0.0763651506064855,0.06778291337127731,1.0478845108794423,75.73805765026819,75.74035057665036,0.047884510879442344,1.0,82.0,82.0,0.0,0.0763651506064855,0.07633718808962979,1.0,0.8290565912762673,1.0,0.8367346938775511
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,0.0,2.0,20000,1337,1.0,0.010284746446582635,5.067817807781271,6.047354090897576,-0.9897152535534174,0.0,5.5,6.5,-1.0,0.07857858040340528,0.06963783216960369,1.0102847464465825,5.067817807781271,5.06792358379074,0.010284746446582504,1.0,5.5,5.5,0.0,0.07857858040340528,0.07855934840168369,1.0,0.8380398282645518,1.0,0.8461538461538461
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,1.0,0.2,20000,1337,0.0,-98.53306622428947,47118.12140493835,56826.886544498564,-98.53306622428947,-99.99999999999999,50449.99999999999,60449.999999999985,-99.99999999999999,0.0660431832519652,0.05993570645990773,1.4669337757105123,47118.12140493834,47120.27329964067,1.4669337757105123,0.0,50449.99999999999,50449.99999999999,0.0,0.06604318325196534,0.06600052924399054,0.9999999999999999,0.829189775560604,1.0,0.8345740281224153
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,1.0,0.5,20000,1337,0.0,-15.741006705551115,1274.0973586216978,1521.876650725903,-15.741006705551115,-16.0,1352.0,1608.0,-16.0,0.05762029687744244,0.05355929681224945,0.2589932944488863,1274.0973586216978,1274.1644361482672,0.2589932944488863,0.0,1352.0,1352.0,0.0,0.05762029687744244,0.05757068332228756,1.0,0.8372323969491994,1.0,0.8407960199004975
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,1.0,1.0,20000,1337,0.0,-3.925133388748111,93.8027381514385,109.20941027090373,-3.925133388748111,-4.0,98.0,114.0,-4.0,0.042829202536341794,0.042022716921897095,0.07486661125188918,93.8027381514385,93.80834316091885,0.07486661125188918,0.0,98.0,98.0,0.0,0.042829202536341794,0.04277200856205253,1.0,0.8589767395338813,1.0,0.8596491228070176
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,1.0,2.0,20000,1337,0.0,-0.9762242033671941,9.298542350332502,10.251556045572412,-0.9762242033671941,-1.0,9.5,10.5,-1.0,0.021206068386052424,0.02366132899310358,0.023775796632806087,9.298542350332502,9.299107638838025,0.023775796632806087,0.0,9.5,9.5,0.0,0.021206068386052424,0.021146564332839433,1.0,0.9070923084748931,1.0,0.9047619047619048
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,3.0,0.2,20000,1337,-14.0,-112.26324522056501,53212.40311415488,62868.06847543176,-98.26324522056501,-113.99999999999999,56049.99999999999,66049.99999999999,-99.99999999999999,0.050626171023106445,0.048174587805726324,-12.263245220565018,53212.40311415488,53215.41943131877,1.7367547794349818,-14.0,56049.99999999999,56049.99999999999,0.0,0.050626171023106445,0.050572356265499094,1.0,0.8464618163370939,1.0,0.8485995457986375
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,3.0,0.5,20000,1337,-14.0,-29.63307830406133,2194.3768802100044,2438.770017470917,-15.633078304061328,-30.0,2248.0,2504.0,-16.0,0.02385370097419733,0.026050312511614583,-13.633078304061325,2194.3768802100044,2194.511511740955,0.3669216959386752,-14.0,2248.0,2248.0,0.0,0.02385370097419733,0.023793811503133883,1.0,0.8998435670521873,1.0,0.8977635782747604
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,3.0,1.0,20000,1337,-14.0,-17.87116918800322,319.30548922465346,334.291440106799,-3.8711691880032184,-18.0,322.0,338.0,-4.0,0.00836804588616939,0.010972070689943866,-13.871169188003218,319.30548922465346,319.3220866027733,0.1288308119967816,-14.0,322.0,322.0,0.0,0.00836804588616939,0.008316501233623258,1.0,0.9552206496844691,1.0,0.9526627218934911
laplace,quadratic_leading_a_-2,quadratic_leading,a,-2.0,2,3.0,2.0,20000,1337,-14.0,-14.949242102994747,65.10333895315355,66.00439952325144,-0.9492421029947469,-15.0,65.5,66.5,-1.0,0.0060558938449839185,0.007452638748098704,-13.949242102994747,65.10333895315355,65.10591531726195,0.05075789700525313,-14.0,65.5,65.5,0.0,0.0060558938449839185,0.00601656004180235,1.0,0.9863875103405345,1.0,0.9849624060150376
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,0.0,0.2,20000,1337,1.0,-48.35085217580864,11628.683622880884,14064.190233359403,-49.35085217580864,-48.99999999999999,12549.999999999996,15049.999999999996,-49.99999999999999,0.07341166351546712,0.06550231007578698,1.64914782419136,11628.683622880884,11629.105015778536,0.64914782419136,1.0,12549.999999999996,12549.999999999998,0.0,0.07341166351546712,0.0733780863921484,1.0,0.8268591950779368,1.0,0.8338870431893689
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,0.0,0.5,20000,1337,1.0,-6.904230978241115,302.95223060107276,365.4290979584593,-7.904230978241115,-7.0,328.0,392.0,-8.0,0.0763651506064855,0.06778291337127731,1.0957690217588845,302.95223060107276,302.9614023066014,0.09576902175888447,1.0,328.0,328.0,0.0,0.0763651506064855,0.07633718808962979,1.0,0.8290565912762673,1.0,0.8367346938775511
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,0.0,1.0,20000,1337,1.0,-0.9794305071068349,20.271271231125084,24.189416363590304,-1.979430507106835,-1.0,22.0,26.0,-2.0,0.07857858040340528,0.06963783216960369,1.0205694928931652,20.271271231125084,20.27169433516296,0.02056949289316523,1.0,22.0,22.0,0.0,0.07857858040340528,0.07855934840168369,1.0,0.8380398282645518,1.0,0.8461538461538461
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,0.0,2.0,20000,1337,1.0,0.5034559919500133,1.61898400550616,1.8655399574365048,-0.49654400804998666,0.5,1.75,2.0,-0.5,0.0748662825679086,0.0672300212817476,1.0034559919500134,1.61898400550616,1.6189959493865183,0.0034559919500134484,1.0,1.75,1.75,0.0,0.0748662825679086,0.07485945749341814,1.0,0.8678430836781592,1.0,0.875
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,1.0,0.2,20000,1337,1.0,-48.283396924877515,11700.045018566221,14128.898231021247,-49.283396924877515,-48.99999999999999,12549.999999999996,15049.999999999996,-49.99999999999999,0.06772549652858768,0.061202775347425235,1.7166030751224768,11700.045018566221,11700.558538533496,0.7166030751224768,1.0,12549.999999999996,12549.999999999998,0.0,0.06772549652858768,0.06768457860290854,1.0,0.8281295786279983,1.0,0.8338870431893689
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,1.0,0.5,20000,1337,1.0,-6.877248877868669,307.5193599249344,369.5704098088176,-7.877248877868669,-7.0,328.0,392.0,-8.0,0.06244097583861462,0.05721834232444489,1.1227511221313313,307.5193599249344,307.5344277629189,0.12275112213133132,1.0,328.0,328.0,0.0,0.06244097583861462,0.062395037308174146,1.0,0.8321402893754656,1.0,0.8367346938775511
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,1.0,1.0,20000,1337,1.0,-0.9659394569206113,20.84216239660778,24.70708034488509,-1.9659394569206112,-1.0,22.0,26.0,-2.0,0.05262898197237365,0.049727679042881195,1.0340605430793888,20.84216239660778,20.843322517202644,0.03406054307938877,1.0,22.0,22.0,0.0,0.05262898197237365,0.05257624921806164,1.0,0.8436173852293184,1.0,0.8461538461538461
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,1.0,2.0,20000,1337,1.0,0.5102015170431251,1.6903454011914967,1.9302479550983531,-0.4897984829568749,0.5,1.75,2.0,-0.5,0.03408834217628761,0.03487602245082344,1.010201517043125,1.6903454011914967,1.6904494721414782,0.010201517043125108,1.0,1.75,1.75,0.0,0.03408834217628761,0.034028873062012445,1.0,0.8757680419639888,1.0,0.875
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,3.0,0.2,20000,1337,-5.0,-54.14848642301528,13026.351497879861,15441.92521555318,-49.14848642301528,-54.99999999999999,13749.999999999996,16249.999999999996,-49.99999999999999,0.05262898197237348,0.04972767904288105,-4.148486423015289,13026.351497879861,13027.07657325165,0.8515135769847113,-5.0,13749.999999999996,13749.999999999998,0.0,0.05262898197237348,0.05257624921806168,1.0,0.8436173852293183,1.0,0.8461538461538463
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,3.0,0.5,20000,1337,-5.0,-12.823284677123773,506.0270086435318,567.2307917828515,-7.823284677123773,-13.0,520.0,584.0,-8.0,0.026871137223977277,0.0287143976321036,-4.823284677123775,506.0270086435318,506.0582369488711,0.17671532287622504,-5.0,520.0,520.0,0.0,0.026871137223977277,0.02681108279063245,1.0,0.8921557931618801,1.0,0.8904109589041096
laplace,quadratic_leading_a_-1,quadratic_leading,a,-1.0,2,3.0,1.0,20000,1337,-5.0,-6.938957356548164,69.32729224529176,73.08684787580398,-1.9389573565481637,-7.0,70.0,74.0,-2.0,0.009610110781546308,0.012339893570216448,-4.938957356548165,69.32729224529176,69.33101844961135,0.06104264345183541,-5.0,70.0,70.0,0.0,0.009610110781546308,0.009556879291266439,1.0,0.948611418670362,1.0,0.9459459459459459
