noise,poly_name,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,quadratic,2,0.0,0.2,20000,1337,0.0,49.31712455034308,11615.048333725928,14047.227107639983,49.31712455034308,49.99999999999999,12499.999999999998,14999.999999999996,49.99999999999999,0.07079613330192559,0.06351819282400091,-0.6828754496569184,11615.048333725928,11615.514652605674,-0.6828754496569184,0.0,12499.999999999998,12499.999999999998,0.0,0.07079613330192559,0.07075882779154592,1.0,0.826890215670269,1.0,0.8333333333333334
laplace,quadratic,2,0.0,0.5,20000,1337,0.0,7.890739928054891,297.34523734338387,359.6090139555835,7.890739928054891,8.0,320.0,384.0,8.0,0.0707961333019254,0.06351819282400124,-0.10926007194510791,297.34523734338387,297.3571751067052,-0.10926007194510791,0.0,320.0,320.0,0.0,0.0707961333019254,0.07075882779154626,1.0,0.8268902156702689,1.0,0.8333333333333334
laplace,quadratic,2,0.0,1.0,20000,1337,0.0,1.9726849820137227,18.584077333961492,22.47556337222397,1.9726849820137227,2.0,20.0,24.0,2.0,0.0707961333019254,0.06351819282400124,-0.027315017986276977,18.584077333961492,18.584823444169075,-0.027315017986276977,0.0,20.0,20.0,0.0,0.0707961333019254,0.07075882779154626,1.0,0.8268902156702689,1.0,0.8333333333333334
laplace,quadratic,2,0.0,2.0,20000,1337,0.0,0.49317124550343067,1.1615048333725932,1.4047227107639981,0.49317124550343067,0.5,1.25,1.5,0.5,0.0707961333019254,0.06351819282400124,-0.006828754496569244,1.1615048333725932,1.1615514652605672,-0.006828754496569244,0.0,1.25,1.25,0.0,0.0707961333019254,0.07075882779154626,1.0,0.8268902156702689,1.0,0.8333333333333334
laplace,quadratic,2,1.0,0.2,20000,1337,1.0,50.249669299411956,11883.67367740176,14309.203603503203,49.249669299411956,50.99999999999999,12699.999999999998,15199.999999999996,49.99999999999999,0.0642776631967116,0.05860502608531534,0.2496692994119643,11883.67367740176,11884.236673562007,-0.7503307005880357,1.0,12699.999999999998,12699.999999999998,0.0,0.0642776631967116,0.064233332790393,1.0,0.8305309647458289,1.0,0.8355263157894738
laplace,quadratic,2,1.0,0.5,20000,1337,1.0,8.863757827682447,333.4745983457245,395.3132855181614,7.863757827682447,9.0,352.0,416.0,8.0,0.05262898197237365,0.049727679042881195,0.8637578276824451,333.4745983457245,333.4931602752423,-0.13624217231755487,1.0,352.0,352.0,0.0,0.05262898197237365,0.05257624921806164,1.0,0.8436173852293184,1.0,0.8461538461538461
laplace,quadratic,2,1.0,1.0,20000,1337,1.0,2.9591939318274996,27.045526419063947,30.88396728157365,1.9591939318274996,3.0,28.0,32.0,2.0,0.03408834217628761,0.03487602245082344,0.9591939318274996,27.045526419063947,27.047191554263648,-0.04080606817250043,1.0,28.0,28.0,0.0,0.03408834217628761,0.03402887306201257,1.0,0.8757680419639887,1.0,0.875
laplace,quadratic,2,1.0,2.0,20000,1337,1.0,1.4864257204103188,3.205505708962871,3.4421156904395693,0.48642572041031884,1.5,3.25,3.5,0.5,0.013690551088347346,0.01653837416012305,0.986425720410319,3.205505708962871,3.2056899700292503,-0.013574279589681049,1.0,3.25,3.25,0.0,0.013690551088347346,0.013633855375615301,1.0,0.931313836700205,1.0,0.9285714285714286
laplace,quadratic,2,3.0,0.2,20000,1337,9.0,58.114758797549726,13604.508052696388,16016.767584437877,49.114758797549726,58.99999999999999,14299.999999999998,16799.999999999996,49.99999999999999,0.04863580051074195,0.04662097711679281,8.11475879754973,13604.508052696388,13605.291704682904,-0.8852412024502705,9.0,14299.999999999998,14299.999999999998,0.0,0.04863580051074195,0.04858099967252405,1.0,0.8494405399190534,1.0,0.8511904761904763
laplace,quadratic,2,3.0,0.5,20000,1337,9.0,16.80979362693755,595.1067104212801,656.0995869166344,7.809793626937552,17.0,608.0,672.0,8.0,0.021206068386052424,0.02366132899310358,8.809793626937552,595.1067104212801,595.1428888856336,-0.19020637306244836,9.0,608.0,608.0,0.0,0.021206068386052424,0.021146564332839433,1.0,0.9070923084748931,1.0,0.9047619047619048
laplace,quadratic,2,3.0,1.0,20000,1337,9.0,10.932211831455051,91.31177210698745,95.04521466860236,1.9322118314550512,11.0,92.0,96.0,2.0,0.007480737967527742,0.009945680535392132,8.932211831455051,91.31177210698745,91.31636734278214,-0.06778816854494885,9.0,92.0,92.0,0.0,0.007480737967527742,0.007430789752368004,1.0,0.9607676479155556,1.0,0.9583333333333334
laplace,quadratic,2,3.0,2.0,20000,1337,9.0,9.472934670224095,19.129344339573077,19.35301154187305,0.4729346702240953,9.5,19.25,19.5,0.5,0.006267826515684317,0.007537869647535809,8.972934670224095,19.129344339573077,19.130076871648956,-0.0270653297759047,9.0,19.25,19.25,0.0,0.006267826515684317,0.006229772901352913,1.0,0.9884806212334579,1.0,0.9871794871794872
laplace,cubic,3,0.0,0.2,20000,1337,0.0,16.176999415461985,10287858.005129598,10288119.700439686,16.176999415461985,0.0,11249999.999999996,11249999.999999996,0.0,0.08552373287736875,0.08550047107202761,21.236143235295778,7183135.896750902,7183586.870530411,21.236143235295778,0.0,7874999.999999996,7874999.999999997,0.0,0.0878557591427422,0.08779849263105864,0.6982149144330472,0.698240988605858,0.7,0.7
laplace,cubic,3,0.0,0.5,20000,1337,0.0,1.035327962589567,42139.06638901083,42140.13829300096,1.035327962589567,0.0,46080.0,46080.0,0.0,0.08552373287736906,0.08550047107202785,1.3591131670589296,29422.124633091687,29423.97182169256,1.3591131670589296,0.0,32256.0,32256.0,0.0,0.08785575914274282,0.08779849263105899,0.6982149144330471,0.698240988605858,0.7,0.7
laplace,cubic,3,0.0,1.0,20000,1337,0.0,0.12941599532369588,658.4229123282943,658.43966082814,0.12941599532369588,0.0,720.0,720.0,0.0,0.08552373287736906,0.08550047107202785,0.1698891458823662,459.7206973920576,459.74955971394627,0.1698891458823662,0.0,504.0,504.0,0.0,0.08785575914274282,0.08779849263105899,0.6982149144330471,0.698240988605858,0.7,0.7
laplace,cubic,3,0.0,2.0,20000,1337,0.0,0.016176999415461985,10.287858005129598,10.288119700439687,0.016176999415461985,0.0,11.25,11.25,0.0,0.08552373287736906,0.08550047107202785,0.021236143235295775,7.1831358967509,7.1835868705304105,0.021236143235295775,0.0,7.875,7.875,0.0,0.08785575914274282,0.08779849263105899,0.6982149144330471,0.698240988605858,0.7,0.7
laplace,cubic,3,1.0,0.2,20000,1337,1.0,165.02719019009456,10547744.148685597,10574649.067807253,164.02719019009456,150.99999999999997,11452949.999999996,11475449.999999996,149.99999999999997,0.07903691636778294,0.07849809220490205,20.08633400992835,7382581.337979837,7382945.626125775,19.08633400992835,1.0,8032949.999999996,8032949.999999997,0.0,0.08096261796975697,0.08091726873368092,0.6999204032551183,0.6981740555913024,0.7013869789006325,0.7000117642445394
laplace,cubic,3,1.0,0.5,20000,1337,1.0,25.667074596195576,47784.34132325911,48392.80589239338,24.667074596195576,25.0,51336.0,51912.0,24.0,0.0691845620371842,0.06779153389595126,1.9908598006649358,33766.742571255694,33767.72437440028,0.9908598006649358,1.0,36360.0,36360.0,0.0,0.07132171146161458,0.07129470917490988,0.7066486977988262,0.6977839732931885,0.7082748948106592,0.7004160887656034
laplace,cubic,3,1.0,1.0,20000,1337,1.0,7.02723436608553,1003.3567046673387,1039.684258771061,6.02723436608553,7.0,1062.0,1098.0,6.0,0.05521967545448333,0.053110875436192195,1.0677075166442,728.50144796518,728.5060322729901,0.06770751664420005,1.0,774.0,774.0,0.0,0.05878365895971579,0.05877773608140818,0.7260642646592106,0.700699299933719,0.7288135593220338,0.7049180327868853
laplace,cubic,3,1.0,2.0,20000,1337,1.0,2.485572448286087,34.632621268227496,36.83954676733421,1.4855724482860868,2.5,36.0,38.25,1.5,0.03798274254923623,0.036874594318059804,0.9906315921059204,26.928897189770673,26.928984956837144,-0.009368407894079556,1.0,28.125,28.125,0.0,0.042528099919264956,0.042524979312457085,0.7775587351938521,0.7309803545334383,0.78125,0.7352941176470589
laplace,cubic,3,3.0,0.2,20000,1337,27.0,486.1204744809796,12242775.717324167,12453567.327411806,459.1204744809796,476.9999999999999,13108949.999999996,13311449.999999996,449.9999999999999,0.06607503138510934,0.06444697404025784,41.179618300813466,8690425.172177115,8690626.233752273,14.179618300813466,27.0,9328949.999999996,9328949.999999996,0.0,0.06844551935886473,0.06842396692529422,0.7098410828419988,0.6978423133926578,0.7116473859462428,0.70082147324296
laplace,cubic,3,3.0,0.5,20000,1337,27.0,98.68772896005555,94110.38297306359,99249.51345651399,71.68772896005555,99.0,98568.0,103752.0,72.0,0.04522377472340322,0.04339662409867773,27.011514164524925,70674.02818634019,70674.02831891617,0.011514164524925263,27.0,74376.0,74376.0,0.0,0.04977374171318449,0.049773739930674264,0.7509695099909286,0.7120843806441618,0.7545653761869978,0.7168632893823733
laplace,cubic,3,3.0,1.0,20000,1337,27.0,44.70145165593319,4952.365334783192,5265.706725510531,17.70145165593319,45.0,5094.0,5418.0,18.0,0.027804213823480105,0.028108762364243037,26.741924806491856,4099.11386688972,4099.180469695225,-0.25807519350814445,27.0,4230.0,4230.0,0.0,0.03094234825302124,0.030926602908930276,0.8277082948827267,0.7784672947766177,0.8303886925795053,0.7807308970099668
laplace,cubic,3,3.0,2.0,20000,1337,27.0,31.36365362018933,550.5206500437796,569.5621229607709,4.363653620189329,31.5,558.0,578.25,4.5,0.013403852968136924,0.015024430677438961,26.86871276400917,506.9882890464499,507.00552538478394,-0.13128723599082903,27.0,514.125,514.125,0.0,0.013881275863943802,0.01384775028488415,0.9209251079067282,0.8901672090643997,0.9213709677419355,0.8891050583657587
laplace,fifth,5,0.0,0.2,20000,1337,0.0,26627.041338695144,29556288693378.184,29556997692708.633,26627.041338695144,15049.999999999996,35484557262499.98,35484783764999.98,15049.999999999996,0.16706615571576477,0.16705149202961045,3698.4634096810655,17693949764912.176,17693963443543.773,3698.4634096810655,0.0,22529496387499.99,22529496387499.99,0.0,0.2146318115335553,0.21463120439030797,0.5986526234221127,0.598638726013389,0.6349098911066061,0.6349058384208531
laplace,fifth,5,0.0,0.5,20000,1337,0.0,496.681719742823,3089380191.5201735,3089626884.2509,496.681719742823,392.0,3746841920.0,3746995584.0,392.0,0.17547090123295792,0.17543887763202132,27.423751393491937,1839570151.542399,1839570903.6045392,27.423751393491937,0.0,2378700608.0,2378700608.0,0.0,0.22664914392522031,0.22664882776010997,0.5954495845450515,0.5954022840044503,0.6348548080726074,0.6348287727258768
laplace,fifth,5,0.0,1.0,20000,1337,0.0,28.58224678382998,3046409.092612141,3047226.0374433533,28.58224678382998,26.0,3751268.0,3751944.0,26.0,0.18789884044218094,0.1878274202804324,0.362180243750057,1799115.0163212356,1799115.1474957645,0.362180243750057,0.0,2380844.0,2380844.0,0.0,0.2443372953787667,0.24433724028295659,0.5905690803918215,0.5904107950604269,0.6346771278405062,0.63456277599026
