noise,poly_name,family,sweep_parameter,sweep_value,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,quadratic,baseline,fixed,nan,2,0.0,0.1,5000,1337,0.0,187.6055889563477,147068.6146262112,182264.4716338693,187.6055889563477,199.99999999999997,199999.99999999997,239999.99999999994,199.99999999999997,0.2646569268689439,0.24056470152554435,-12.394411043652283,147068.6146262112,147222.23605133023,-12.394411043652283,0.0,199999.99999999997,199999.99999999997,0.0,0.2646569268689439,0.26388881974334877,1.0,0.8077396254551928,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,0.5,5000,1337,0.0,7.5042235582539085,235.30978340193798,291.6231546141909,7.5042235582539085,8.0,320.0,384.0,8.0,0.2646569268689438,0.24056470152554446,-0.4957764417460925,235.30978340193792,235.55557768212836,-0.4957764417460925,0.0,320.0,320.0,0.0,0.264656926868944,0.2638888197433489,0.9999999999999998,0.8077396254551928,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,1.0,5000,1337,0.0,1.8760558895634771,14.706861462621124,18.226447163386933,1.8760558895634771,2.0,20.0,24.0,2.0,0.2646569268689438,0.24056470152554446,-0.12394411043652312,14.70686146262112,14.722223605133022,-0.12394411043652312,0.0,20.0,20.0,0.0,0.264656926868944,0.2638888197433489,0.9999999999999998,0.8077396254551928,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,2.0,5000,1337,0.0,0.4690139723908693,0.9191788414138202,1.1391529477116833,0.4690139723908693,0.5,1.25,1.5,0.5,0.2646569268689438,0.24056470152554446,-0.03098602760913078,0.91917884141382,0.9201389753208139,-0.03098602760913078,0.0,1.25,1.25,0.0,0.264656926868944,0.2638888197433489,0.9999999999999998,0.8077396254551928,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,5.0,5000,1337,0.0,0.0750422355825391,0.023530978340193798,0.02916231546141909,0.0750422355825391,0.08,0.032,0.038400000000000004,0.08,0.2646569268689438,0.24056470152554457,-0.004957764417460919,0.023530978340193798,0.023555557768212842,-0.004957764417460919,0.0,0.032,0.032,0.0,0.2646569268689438,0.2638888197433487,1.0,0.8077396254551931,1.0,0.8333333333333333
laplace,quadratic,baseline,fixed,nan,2,1.0,0.1,5000,1337,1.0,188.63810410760524,149214.50039020524,184422.55850330176,187.63810410760524,200.99999999999997,200799.99999999997,240799.99999999994,199.99999999999997,0.2568998984551531,0.23412558761087293,-11.361895892394726,149214.50039020524,149367.31686025966,-12.361895892394726,1.0,200799.99999999997,200799.99999999997,0.0,0.2568998984551531,0.2561388602576709,1.0,0.809918906192734,1.0,0.8338870431893689
laplace,quadratic,baseline,fixed,nan,2,1.0,0.5,5000,1337,1.0,8.510726588505419,276.4903510687807,332.90136495606293,7.510726588505419,9.0,352.0,416.0,8.0,0.21451604810005487,0.19975633424023334,0.5107265885054192,276.4903510687807,276.72973953997626,-0.4892734114945808,1.0,352.0,352.0,0.0,0.21451604810005487,0.21383596721597653,1.0,0.8312664610927615,1.0,0.8461538461538461
laplace,quadratic,baseline,fixed,nan,2,1.0,1.0,5000,1337,1.0,2.879307404689233,23.606538913928116,27.138335235247894,1.879307404689233,3.0,28.0,32.0,2.0,0.15690932450256728,0.15192702389850332,0.8793074046892326,23.606538913928116,23.621105616490965,-0.12069259531076737,1.0,28.0,28.0,0.0,0.15690932450256728,0.15638908512532268,1.0,0.8703962646098987,1.0,0.875
laplace,quadratic,baseline,fixed,nan,2,1.0,2.0,5000,1337,1.0,1.4706397299537473,2.9696651460651062,3.191166901476042,0.47063972995374725,1.5,3.25,3.5,0.5,0.08625687813381347,0.08823802814970223,0.9706397299537471,2.9696651460651062,2.970527171522295,-0.029360270046252857,1.0,3.25,3.25,0.0,0.08625687813381347,0.08599163953160148,1.0,0.9308592321348995,1.0,0.9285714285714286
laplace,quadratic,baseline,fixed,nan,2,1.0,5.0,5000,1337,1.0,1.0756925386076903,0.3348632134995552,0.3405925739004319,0.07569253860769032,1.08,0.352,0.3584,0.08,0.0486840525580817,0.04968589871531275,0.9956925386076902,0.33486321349955517,0.3348817677232014,-0.004307461392309753,1.0,0.352,0.352,0.0,0.04868405255808186,0.04863134169545056,0.9999999999999999,0.9832327343141075,1.0,0.9821428571428571
