noise,poly_name,family,sweep_parameter,sweep_value,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,quadratic,baseline,fixed,nan,2,-15.0,0.1,20000,1337,225.0,424.2921557293058,354814.95904881915,394532.322384053,199.29215572930582,425.0,380000.0,419999.9999999999,199.99999999999997,0.0662764235557391,0.06063732765701634,224.29215572930585,354814.95904881915,354815.46009233064,-0.707844270694153,225.0,380000.0,379999.99999999994,0.0,0.0662764235557391,0.06627510502018237,1.0,0.8993317909880639,1.0,0.9047619047619049
laplace,quadratic,baseline,fixed,nan,2,-15.0,0.5,20000,1337,225.0,233.29547143364158,7330.340425143249,7399.155271449614,8.29547143364158,233.0,7520.0,7584.0,8.0,0.025220688145844498,0.024372986359491852,225.29547143364158,7330.340425143249,7330.427728511347,0.29547143364158046,225.0,7520.0,7520.0,0.0,0.025220688145844498,0.025209078655406027,1.0,0.9907114338844247,1.0,0.9915611814345991
laplace,quadratic,baseline,fixed,nan,2,-15.0,1.0,20000,1337,225.0,227.1750507348071,1785.3962417661683,1790.127087465153,2.175050734807087,227.0,1820.0,1824.0,2.0,0.019013053974632824,0.018570675731824037,225.1750507348071,1785.3962417661683,1785.4268845259246,0.17505073480708688,225.0,1820.0,1820.0,0.0,0.019013053974632824,0.01899621729344802,1.0,0.9973743747177839,1.0,0.9978070175438597
laplace,quadratic,baseline,fixed,nan,2,-15.0,2.0,20000,1337,225.0,225.59435412190012,443.9349668767043,444.2882236989239,0.5943541219001247,225.5,451.25,451.5,0.5,0.016210599719214798,0.015972926469714505,225.09435412190012,443.9349668767043,443.94386957702375,0.09435412190012471,225.0,451.25,451.25,0.0,0.016210599719214798,0.01619087074343768,1.0,0.9992249307914731,1.0,0.9994462901439646
laplace,quadratic,baseline,fixed,nan,2,-15.0,5.0,20000,1337,225.0,225.11938054983924,70.9762488604543,70.99050057613421,0.11938054983923507,225.08,72.032,72.0384,0.08,0.014656696184274925,0.014546400584490858,225.03938054983922,70.97624886045432,70.97779968815995,0.03938054983922257,225.0,72.032,72.032,0.0,0.014656696184274728,0.014635166479343192,1.0000000000000002,0.9998210903167158,1.0,0.9999111584932481
laplace,quadratic,baseline,fixed,nan,2,-15.0,7.0,20000,1337,225.0,225.06916827044012,36.21492776708297,36.219712016718645,0.06916827044011598,225.0408163265306,36.74302374010829,36.74468971261974,0.04081632653061224,0.014372686819698485,0.01428717183372466,225.02835194390957,36.214927767082955,36.2157315998064,0.028351943909569854,225.0,36.74302374010829,36.743023740108285,0.0,0.014372686819698872,0.014350809667476956,0.9999999999999996,0.9998901035737003,1.0,0.9999546608632571
laplace,quadratic,baseline,fixed,nan,2,-15.0,10.0,20000,1337,225.0,225.03996342509947,17.747050359395626,17.748647434741308,0.03996342509947226,225.02,18.002,18.0024,0.02,0.01416229533409471,0.014095485338548949,225.0199634250995,17.747050359395626,17.74744889773733,0.01996342509949045,225.0,18.002,18.002,0.0,0.01416229533409471,0.014140156774951146,1.0,0.9999324716427893,1.0,0.9999777807403456
laplace,quadratic,baseline,fixed,nan,2,-12.0,0.1,20000,1337,144.0,342.8874242237191,292614.11339634715,332170.3209106928,198.8874242237191,344.0,315200.0,355199.99999999994,199.99999999999997,0.07165573161057376,0.06483580824692328,142.88742422371917,292614.11339634715,292615.351221205,-1.1125757762808348,144.0,315200.0,315199.99999999994,0.0,0.07165573161057376,0.07165180450125291,1.0,0.8809196150304996,1.0,0.8873873873873873
laplace,quadratic,baseline,fixed,nan,2,-12.0,0.5,20000,1337,144.0,152.21452513252424,4787.501047158029,4854.979470310903,8.214525132524244,152.0,4928.0,4992.0,8.0,0.028510339456568792,0.027448022774258254,144.21452513252424,4787.501047158029,4787.5470681905135,0.2145251325242441,144.0,4928.0,4928.0,0.0,0.028510339456568792,0.02850100077302891,1.0,0.9861106720362566,1.0,0.9871794871794872
laplace,quadratic,baseline,fixed,nan,2,-12.0,1.0,20000,1337,144.0,146.1345775842484,1147.9737237734155,1152.5301452365911,2.1345775842484045,146.0,1172.0,1176.0,2.0,0.02050023568821204,0.019957359492694622,144.1345775842484,1147.9737237734155,1147.9918348995975,0.1345775842484045,144.0,1172.0,1172.0,0.0,0.02050023568821204,0.020484782508875848,1.0,0.9960623066079872,1.0,0.9965986394557823
